data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2019-08-04,ALL FOR US - FROM THE HBO ORIGINAL SERIES EUPHORIA,"LABRINTH, ZENDAYA",2,5342,0,426204830.0,33,123,7.0,0,4.0,141,MAJOR,2,0
2016-08-05,NOTION,THE RARE OCCASIONS,1,2393,0,421135627.0,22,13,65.0,0,6.0,160,MAJOR,7,0
2019-10-04,FORMULA,LABRINTH,1,3444,7,554875730.0,24,85,102.0,0,1.0,145,MAJOR,4,6
2019-06-21,MOUNT EVEREST,LABRINTH,1,5443,0,467727006.0,45,1,80.0,0,12.0,89,MINOR,23,8
2020-07-24,EXCUSES,"INTENSE, AP DHILLON, GURINDER GILL",3,272,4,327498031.0,7,21,2.0,0,0.0,95,MINOR,8,0
2021-12-10,CIGARETTES,JUICE WRLD,1,975,0,185408548.0,11,0,10.0,0,0.0,160,MAJOR,3,0
2022-01-14,"CAYÏ¿½Ï¿½ LA NOCHE (FEAT. CRUZ CAFUNÏ¿½Ï¿½, ABHIR HATHI, BEJO, EL IMA)","QUEVEDO, LA PANTERA, JUSEPH, CRUZ CAFUNÏ¿½Ï¿½, BÏ¿½Ï¿½JO, ABHIR HATHI",7,1034,1,245400167.0,19,5,12.0,0,0.0,174,MINOR,44,0
1995-12-28,CALIFORNIA LOVE - ORIGINAL VERSION (EXPLICIT),"DR. DRE, 2PAC, ROGER",3,18773,0,579395142.0,128,17,1.663,0,0.0,92,MAJOR,3,0
1999-01-01,FORGOT ABOUT DRE,"EMINEM, DR. DRE",2,19067,0,675039469.0,78,15,1.674,0,3.0,134,MAJOR,9,0
2021-11-19,DOWN UNDER (FEAT. COLIN HAY),"LUUDE, COLIN HAY",2,3541,2,252871192.0,57,13,50.0,1,7.0,172,MINOR,1,0
2021-12-17,MUJERIEGO,RYAN CASTRO,1,1492,0,231996128.0,44,63,91.0,0,24.0,80,MAJOR,6,0
2017-03-30,HUMBLE.,KENDRICK LAMAR,1,33206,1,1929770265.0,284,114,1.481,0,5.0,150,MINOR,0,0
1999-11-21,STAN,"EMINEM, DIDO",2,17115,0,918915401.0,83,63,4.18,0,0.0,80,MINOR,4,0
2020-01-16,CONTECTION,"GODZZ__-, ZAKARIA",2,6955,0,1180896317.0,65,45,398.0,0,1.0,166,MINOR,14,0
2017-10-04,SWIM,CHASE ATLANTIC,1,2742,0,498960285.0,5,1,62.0,0,0.0,120,MAJOR,27,0
2020-02-29,A TU MERCED,BAD BUNNY,1,4214,11,685071800.0,21,20,40.0,0,0.0,92,MAJOR,17,0
2022-01-28,NUMB LITTLE BUG,EM BEIHOLD,1,2026,0,258714692.0,47,3,42.0,12,6.0,85,MINOR,30,0
2022-01-15,212,"MAINSTREET, CHEFIN",2,352,0,143139338.0,10,0,39.0,0,0.0,154,MINOR,66,0
